Position;Team;M;W;D;L;Goals;Dif;Pt;;;;;;
1;Arsenal FC;27;21;3;3;62:25;37;66;;;;;;
2;Manchester City;27;19;4;4;67:25;42;61;;;;;;
3;Manchester United;27;16;5;6;42:35;7;53;;;;;;
4;Newcastle United;27;13;11;3;46:20;26;50;;;;;;
5;Tottenham Hotspur;27;15;3;9;49:37;12;48;;;;;;
6;Brighton & Hove Albion;27;13;6;8;49:35;14;45;;;;;;
7;Liverpool FC;27;12;7;8;47:29;18;43;;;;;;
8;Brentford FC;27;10;11;6;42:34;8;41;;;;;;
9;Fulham FC;27;11;6;10;38:37;1;39;;;;;;
10;Chelsea FC;27;10;8;9;27:26;1;38;;;;;;
11;Aston Villa;27;11;5;11;34:40;-6;38;;;;;;
12;Crystal Palace;27;6;9;12;21:34;-13;27;;;;;;
13;Wolverhampton Wanderers;27;7;6;14;20:37;-17;27;;;;;;
14;Leeds United;27;6;8;13;33:43;-10;26;;;;;;
15;Nottingham Forest;27;6;8;13;22:49;-27;26;;;;;;
16;Everton FC;27;6;7;14;20:38;-18;25;;;;;;
17;Leicester City;27;7;3;17;38:48;-10;24;;;;;;
18;West Ham United;27;6;6;15;25:39;-14;24;;;;;;
19;AFC Bournemouth;27;6;6;15;25:53;-28;24;;;;;;
20;Southampton FC;27;6;4;17;20:43;-23;22;;;;;;
