Abbreviation;Full_club_name;Special_ranking; 
ARS;Arsenal;2. place;
AVL;Aston Villa;7. place;
BOU;Bournemouth;15. place;
BRE;Brentford;9. place;
BRI;Brighton;6. place;
BUR;Burnley;1. place, Promoted to Premier league;
CHE;Chelsea;12. place;
CRY;Crystal Palace;11. place;
EVE;Everton;17. place;
FUL;Fulham;10. place;
LIV;Liverpool;5. place;
LUT;Luton Town;3. place, Promoted to Premier league;
MCI;Man. City;1. place, Winner of the triple, Fa cup, league and champios league; 
MUN;Manchester Utd;3. place;
NEW;Newcastle;4. place;
NFO;Nottingham;16. place;
SHU;Sheffield Utd;2. place, Promoted to Premier league;
TOT;Tottenham;8. place;
WHU;West Ham;14. place;
WOL;Wolves;13. place;
LEI;Leicester city;18. place, Demoted;
LEE;Leeds utd;19. place, Demoted;
SOU;Southampton;20. place, Demoted;
